t[ms];I[10A];Ue[V];P[W];E[J]
0;30,31;3,543;107,39;53,7
0,02;30,71;3,583;110,03;55,02
0,04;30,71;3,661;112,43;56,22
0,06;30,71;3,583;110,03;55,02
0,08;31,5;3,543;111,6;55,8
0,1;32,28;3,504;113,11;56,56
0,12;32,68;3,465;113,24;56,62
0,14;32,28;3,583;115,66;57,83
0,16;32,28;3,543;114,37;57,18
0,18;33,46;3,504;117,24;58,62
0,2;33,86;3,425;115,97;57,98
0,22;34,65;3,425;118,68;59,34
0,24;34,25;3,425;117,31;58,66
0,26;34,25;3,504;120,01;60
0,28;34,65;3,425;118,68;59,34
0,3;35,43;3,386;119,97;59,98
0,32;35,83;3,346;119,89;59,94
0,34;35,83;3,425;122,72;61,36
0,36;35,43;3,425;121,35;60,68
0,38;35,43;3,425;121,35;60,68
0,4;36,61;3,346;122,5;61,25
0,42;37,01;3,346;123,84;61,92
0,44;36,61;3,386;123,96;61,98
0,46;36,61;3,425;125,39;62,7
0,48;36,61;3,425;125,39;62,7
0,5;37,4;3,346;125,14;62,57
0,52;37,8;3,346;126,48;63,24
0,54;37,4;3,386;126,64;63,32
0,56;37,4;3,425;128,1;64,05
0,58;37,01;3,386;125,32;62,66
0,6;38,19;3,307;126,29;63,14
0,62;38,19;3,268;124,8;62,4
0,64;38,19;3,346;127,78;63,89
0,66;38,19;3,386;129,31;64,66
0,68;37,8;3,386;127,99;64
0,7;38,19;3,268;124,8;62,4
0,72;38,58;3,268;126,08;63,04
0,74;38,58;3,346;129,09;64,54
0,76;38,19;3,346;127,78;63,89
0,78;38,19;3,346;127,78;63,89
0,8;38,58;3,268;126,08;63,04
0,82;38,58;3,189;123,03;61,52
0,84;38,58;3,268;126,08;63,04
0,86;38,19;3,386;129,31;64,66
0,88;38,58;3,346;129,09;64,54
0,9;38,58;3,307;127,58;63,79
0,92;38,98;3,268;127,39;63,7
0,94;38,98;3,268;127,39;63,7
0,96;38,58;3,268;126,08;63,04
0,98;38,58;3,346;129,09;64,54
1;38,58;3,307;127,58;63,79
1,02;38,98;3,268;127,39;63,7
1,04;38,98;3,268;127,39;63,7
1,06;38,58;3,268;126,08;63,04
1,08;38,58;3,268;126,08;63,04
1,1;38,98;3,268;127,39;63,7
1,12;39,37;3,228;127,09;63,54
1,14;39,37;3,228;127,09;63,54
1,16;38,98;3,268;127,39;63,7
1,18;38,58;3,268;126,08;63,04
1,2;38,58;3,268;126,08;63,04
1,22;38,98;3,228;125,83;62,92
1,24;38,98;3,228;125,83;62,92
1,26;38,98;3,228;125,83;62,92
1,28;38,58;3,268;126,08;63,04
1,3;38,58;3,228;124,54;62,27
1,32;38,98;3,189;124,31;62,16
1,34;38,98;3,228;125,83;62,92
1,36;38,58;3,228;124,54;62,27
1,38;38,58;3,307;127,58;63,79
1,4;38,58;3,228;124,54;62,27
1,42;38,58;3,189;123,03;61,52
1,44;38,98;3,228;125,83;62,92
1,46;38,58;3,268;126,08;63,04
1,48;38,58;3,228;124,54;62,27
1,5;38,58;3,268;126,08;63,04
1,52;38,98;3,228;125,83;62,92
1,54;38,58;3,228;124,54;62,27
1,56;38,58;3,268;126,08;63,04
1,58;38,58;3,268;126,08;63,04
1,6;38,58;3,268;126,08;63,04
1,62;38,98;3,189;124,31;62,16
1,64;38,98;3,228;125,83;62,92
1,66;38,58;3,268;126,08;63,04
1,68;38,58;3,268;126,08;63,04
1,7;38,58;3,268;126,08;63,04
1,72;38,58;3,228;124,54;62,27
1,74;38,58;3,189;123,03;61,52
1,76;38,58;3,189;123,03;61,52
1,78;38,19;3,268;124,8;62,4
1,8;38,58;3,228;124,54;62,27
1,82;38,58;3,189;123,03;61,52
1,84;38,58;3,228;124,54;62,27
1,86;38,58;3,228;124,54;62,27
1,88;38,19;3,228;123,28;61,64
1,9;38,58;3,228;124,54;62,27
1,92;38,19;3,189;121,79;60,9
1,94;38,58;3,228;124,54;62,27
1,96;38,19;3,228;123,28;61,64
1,98;38,19;3,268;124,8;62,4
2;38,19;3,228;123,28;61,64
2,02;38,19;3,189;121,79;60,9
2,04;38,19;3,189;121,79;60,9
2,06;38,58;3,268;126,08;63,04
2,08;38,19;3,228;123,28;61,64
2,1;38,19;3,268;124,8;62,4
2,12;38,19;3,15;120,3;60,15
2,14;38,58;3,228;124,54;62,27
2,16;38,19;3,189;121,79;60,9
2,18;38,19;3,228;123,28;61,64
2,2;38,19;3,189;121,79;60,9
2,22;38,19;3,189;121,79;60,9
2,24;38,58;3,15;121,53;60,76
2,26;38,19;3,228;123,28;61,64
2,28;38,19;3,189;121,79;60,9
2,3;37,8;3,228;122,02;61,01
2,32;38,19;3,189;121,79;60,9
2,34;38,19;3,11;118,77;59,38
2,36;38,19;3,228;123,28;61,64
2,38;37,8;3,228;122,02;61,01
2,4;37,8;3,228;122,02;61,01
2,42;38,19;3,228;123,28;61,64
2,44;38,19;3,189;121,79;60,9
2,46;38,19;3,228;123,28;61,64
2,48;37,8;3,228;122,02;61,01
